Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",62.050000,-66.150000,0.000000,top
"C2","22u","C_0805_2012Metric",66.000000,-71.750000,90.000000,top
"C3","10u","C_0603_1608Metric",49.000000,-55.500000,0.000000,top
"C4","100n","C_0402_1005Metric",49.100000,-69.000000,0.000000,top
"C5","10p","C_0402_1005Metric",43.800000,-61.360000,90.000000,top
"C6","100n","C_0402_1005Metric",45.300000,-59.800000,90.000000,top
"C7","10p","C_0402_1005Metric",43.800000,-63.400000,90.000000,top
"C8","100n","C_0402_1005Metric",48.980000,-57.000000,0.000000,top
"C9","100n","C_0402_1005Metric",57.400000,-60.300000,-90.000000,top
"C10","100n","C_0402_1005Metric",54.400000,-68.900000,180.000000,top
"C11","10n","C_0402_1005Metric",45.100000,-64.920000,90.000000,top
"C12","1u","C_0402_1005Metric",44.820000,-69.600000,180.000000,top
"C13","1u","C_0402_1005Metric",44.780000,-68.200000,180.000000,top
"D1","LED","LED_0805_2012Metric",68.900000,-71.662500,-90.000000,top
"FB1","120R","L_0603_1608Metric",46.800000,-68.712500,90.000000,top
"H1","MountingHole","MountingHole_2.2mm_M2",73.000000,-75.000000,0.000000,top
"H2","MountingHole","MountingHole_2.2mm_M2",38.000000,-75.000000,0.000000,top
"H3","MountingHole","MountingHole_2.2mm_M2",73.000000,-50.000000,0.000000,top
"H4","MountingHole","MountingHole_2.2mm_M2",38.000000,-50.000000,0.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",46.600000,-75.300000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",54.000000,-49.500000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",66.320000,-49.500000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",72.000000,-61.125000,90.000000,top
"R1","1k5","R_0402_1005Metric",68.810000,-69.100000,180.000000,top
"R2","1k5","R_0402_1005Metric",49.000000,-72.700000,180.000000,top
"R3","1k5","R_0402_1005Metric",52.000000,-72.700000,0.000000,top
"R4","10k","R_0402_1005Metric",45.000000,-54.300000,-90.000000,top
"R5","1k5","R_0402_1005Metric",61.000000,-61.110000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",37.500000,-57.050000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",61.000000,-71.850000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",51.400000,-63.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",41.250000,-63.800000,-90.000000,top
